ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
6.377,0.6868,0.1199,-0.7012,1.5725,0.855,-1.4809
6.397,0.6809,0.1233,-0.6941,-1.6183,-3.2977,1.1221
6.417,0.6951,0.1101,-0.6904,-4.8397,-7.3893,2.5496
6.437,0.7151,0.0952,-0.6794,-4.8321,-8.7252,2.2214
6.457,0.7212,0.0894,-0.6865,-1.9924,-6.5038,2.5344
6.477,0.7136,0.0979,-0.6794,1.084,-1.8855,0.2672
6.497,0.7024,0.1069,-0.6926,0.9847,0.6641,-1.229
6.517,0.6826,0.115,-0.6941,-0.3893,0.2824,-1.687
6.537,0.6865,0.1143,-0.6958,-2.4809,-3.2901,0.9924
6.557,0.6936,0.104,-0.6956,-3.542,-6.8779,3.0534
6.577,0.7148,0.0923,-0.6892,-3.7252,-7.8015,2.8015
6.597,0.7219,0.092,-0.6887,-1.9313,-5.3359,1.5191
6.617,0.7141,0.0928,-0.6829,-0.0611,-2.1679,0.3435
6.637,0.7026,0.1033,-0.698,0.3511,-0.3511,-0.374
6.657,0.6914,0.1069,-0.6919,-0.7481,-0.5725,-1.313
6.677,0.6914,0.1125,-0.6965,-1.7176,-3.3893,-0.0229
6.697,0.6938,0.1074,-0.6938,-1.5954,-5.7863,2.0763
6.717,0.7065,0.1045,-0.6882,-1.7634,-6.7405,2.7557
6.737,0.7163,0.0994,-0.6873,-1.3969,-5.5649,1.7405
6.757,0.709,0.1016,-0.6873,-0.6947,-3.0687,0.1069
6.777,0.7046,0.1077,-0.6931,-1.2748,-1.8473,0.855
6.797,0.696,0.1055,-0.6907,-1.7099,-2.1221,-0.1069
6.817,0.7046,0.1018,-0.6868,-2.5191,-4.0153,0.9237
6.837,0.7046,0.1047,-0.679,-1.6107,-4.4733,0.9237
6.857,0.7058,0.1028,-0.6985,-1.1679,-4.0611,1.7252
6.877,0.7002,0.105,-0.6909,-0.8855,-2.3359,-0.0153
6.897,0.696,0.1074,-0.6873,-1.3893,-2.1145,0.1069
6.917,0.6963,0.1072,-0.6873,-1.9389,-3.145,0.8092
6.937,0.7017,0.1003,-0.6877,-2.6947,-5.1985,1.7863
6.957,0.7107,0.0959,-0.6975,-2.9008,-6.4198,2.4656
6.977,0.7124,0.0952,-0.6826,-1.2672,-5.0,0.2214
6.998,0.7119,0.0942,-0.6951,-0.0687,-3.3511,0.4198
7.017,0.7009,0.1089,-0.6855,1.1145,-1.0458,-1.0382
7.037,0.6946,0.1135,-0.6907,-0.2595,-2.0076,0.5191
7.057,0.6914,0.1155,-0.6902,-1.2366,-3.0763,-0.2748
7.077,0.6985,0.1067,-0.6987,-3.0916,-5.687,2.3969
7.097,0.7104,0.1042,-0.6885,-3.0611,-6.0763,2.2595
7.117,0.7183,0.095,-0.6853,-3.0305,-5.2214,2.4427
7.137,0.7114,0.0969,-0.688,-1.7557,-2.7252,0.2824
7.157,0.7026,0.1021,-0.6865,-0.8855,-0.7634,-0.5496
7.177,0.6907,0.1062,-0.6914,-0.374,-0.9084,-0.5191
7.197,0.6877,0.1111,-0.687,-0.4351,-3.4427,0.5267
7.217,0.697,0.1079,-0.6926,-0.9771,-5.8092,1.3053
7.237,0.7048,0.1101,-0.6909,-1.5725,-6.5573,1.7634
7.257,0.7114,0.1047,-0.6863,-1.5954,-5.3969,1.7786
7.277,0.7109,0.1025,-0.6873,-1.7786,-3.4351,1.1832
7.297,0.7068,0.0986,-0.6948,-2.2595,-1.9847,-0.0153
7.317,0.7007,0.1052,-0.6892,-1.9771,-1.8855,-0.4885
7.337,0.6995,0.1003,-0.6978,-0.8321,-2.9771,0.4275
7.357,0.7004,0.1069,-0.6912,-0.1527,-4.1832,1.374
7.377,0.7097,0.106,-0.6963,-1.1527,-5.0305,1.7405
7.397,0.7024,0.1045,-0.6873,-1.8092,-4.1221,0.3893
7.417,0.7063,0.0981,-0.6875,-2.6031,-3.9695,1.6107
7.437,0.6992,0.1021,-0.6831,-1.7939,-3.229,0.4733
7.457,0.7065,0.0969,-0.6938,-1.7557,-4.1679,1.5344
7.477,0.7039,0.1016,-0.6814,-0.4656,-3.3969,-0.1298
7.497,0.7065,0.1021,-0.6982,-0.8092,-3.5725,1.5191
7.517,0.6965,0.1094,-0.6819,-0.542,-2.4427,-0.0611
7.537,0.7036,0.1074,-0.6936,-2.2137,-3.5038,1.1145
7.557,0.6995,0.1077,-0.6841,-2.1985,-3.8931,0.4427
7.577,0.7048,0.0974,-0.6885,-2.2824,-5.0076,2.0687
7.597,0.7068,0.0999,-0.6892,-1.4122,-4.374,1.0534
7.617,0.7085,0.0991,-0.6902,-1.2824,-3.6947,0.9237
7.638,0.7061,0.1028,-0.6868,-0.6412,-2.2061,-0.2824
7.657,0.6936,0.1082,-0.689,-1.0,-2.1145,0.3511
7.677,0.6958,0.1099,-0.6902,-1.4962,-3.1298,0.9313
7.697,0.6968,0.1072,-0.6833,-2.3053,-4.5573,0.9542
7.717,0.7014,0.0984,-0.6858,-2.0611,-5.5267,1.2595
7.737,0.7104,0.0991,-0.6812,-1.0992,-4.9924,1.6183
7.757,0.7095,0.0991,-0.689,-0.7099,-3.6107,1.1374
7.777,0.7029,0.1025,-0.6917,-1.1374,-2.2824,-0.1985
7.797,0.7,0.1067,-0.6907,-1.5802,-2.1527,-0.0534
7.817,0.6934,0.1091,-0.6843,-1.5115,-2.3969,0.3359
7.837,0.6992,0.1069,-0.6895,-2.0305,-4.1756,1.7252
7.857,0.7002,0.105,-0.6885,-2.0229,-4.9924,1.229
7.877,0.7085,0.0952,-0.688,-2.1069,-5.458,1.7328
